model,operator,owner,root
qwen2_1p5b,mlp_down_projection,matrix,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,mlp_residual,sfu,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,final_rmsnorm,sfu,HeteroFinalNormPrimitiveV3
qwen2_1p5b,lm_head,matrix,HeteroLmHeadArgmaxPrimitiveV3
qwen2_1p5b,argmax,selection,HeteroLmHeadArgmaxPrimitiveV3
qwen3_5_35b_a3b,token_embedding,memory,HeteroTokenEmbeddingPrimitiveV3
qwen3_5_35b_a3b,input_rmsnorm,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_qkv_projection,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_z_projection,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_beta_projection,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_decay_projection,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_causal_conv1d,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_conv_state_read,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_conv_state_write,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_q_l2norm,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_k_l2norm,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_query_scale,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_softplus,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_decay_exp,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_beta_sigmoid,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_recurrent_state_read,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_state_decay,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_state_key_read,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_delta,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_outer_product_update,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_state_query,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_output_rmsnorm,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_output_silu_gate,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_output_projection,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,gdn_residual,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_5_35b_a3b,dense_q_projection,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_k_projection,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_v_projection,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_gate_projection,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_q_rmsnorm,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_k_rmsnorm,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,partial_interleaved_mrope,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_kv_append,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_kv_gather,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_gqa_mapping,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_qk_matmul,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_attention_scale,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_causal_mask,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_online_softmax,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_pv_matmul,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,attention_output_sigmoid_gate,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_o_projection,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,dense_residual,matrix_sfu_kv,HeteroQwen35DenseAttentionPrimitiveV3
qwen3_5_35b_a3b,post_attention_rmsnorm,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,moe_router_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,moe_stable_top8,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,moe_selected_softmax,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,moe_dispatch,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,expert_weight_fetch,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,routed_expert_gate_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,routed_expert_up_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,routed_expert_silu,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,routed_expert_multiply,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,routed_expert_down_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,routed_expert_weighted_reduce,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,shared_expert_gate_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,shared_expert_up_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,shared_expert_silu,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,shared_expert_multiply,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,shared_expert_down_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,shared_expert_router_gate,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,routed_shared_reduce,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,moe_residual,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_5_35b_a3b,final_rmsnorm,sfu,HeteroFinalNormPrimitiveV3
qwen3_5_35b_a3b,lm_head,matrix,HeteroLmHeadArgmaxPrimitiveV3
qwen3_5_35b_a3b,argmax,selection,HeteroLmHeadArgmaxPrimitiveV3
qwen3_5_35b_a3b,mtp_draft,matrix_state,HeteroMtpDraftPrimitiveV3
qwen3_5_35b_a3b,mtp_target_verify,control_state,HeteroMtpVerifyResolvePrimitiveV3
qwen3_5_35b_a3b,mtp_state_commit_rollback,control_state,HeteroMtpVerifyResolvePrimitiveV3
qwen3_5_35b_a3b,vision_patch_projection,matrix,HeteroVisionPatchEmbedPrimitiveV3
qwen3_5_35b_a3b,vision_position_interpolation,control_sfu,HeteroVisionPatchEmbedPrimitiveV3
qwen3_5_35b_a3b,vision_position_add,sfu,HeteroVisionPatchEmbedPrimitiveV3
qwen3_5_35b_a3b,vision_layernorm1,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_qkv_projection,matrix,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_rope,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_window_mask,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_noncausal_qk,matrix,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_online_softmax,attention_sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_pv,matrix,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_output_projection,matrix,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_attention_residual,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_layernorm2,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_mlp_fc1,matrix,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_gelu,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_mlp_fc2,matrix,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_mlp_residual,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_5_35b_a3b,vision_spatial_merge,memory_sfu,HeteroVisionPatchMergePrimitiveV3
qwen3_5_35b_a3b,vision_merge_layernorm,sfu,HeteroVisionPatchMergePrimitiveV3
qwen3_5_35b_a3b,vision_merge_fc1,matrix,HeteroVisionPatchMergePrimitiveV3
qwen3_5_35b_a3b,vision_merge_gelu,sfu,HeteroVisionPatchMergePrimitiveV3
qwen3_5_35b_a3b,vision_merge_fc2,matrix,HeteroVisionPatchMergePrimitiveV3
qwen3_5_35b_a3b,multimodal_feature_gather,memory,HeteroMultimodalInjectPrimitiveV3
qwen3_5_35b_a3b,multimodal_token_scatter,memory,HeteroMultimodalInjectPrimitiveV3
qwen3_8_flash_next,token_embedding,memory,HeteroTokenEmbeddingPrimitiveV3
qwen3_8_flash_next,attention_hyper_state_read,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,attention_hyper_group_rmsnorm,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,attention_hyper_lowrank_down,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,attention_hyper_branch_scale,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,attention_hyper_silu,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,attention_hyper_lowrank_up,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,attention_hyper_sigmoid,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,attention_hyper_weighted_reduce,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,moe_hyper_state_read,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,moe_hyper_group_rmsnorm,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,moe_hyper_lowrank_down,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,moe_hyper_branch_scale,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,moe_hyper_silu,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,moe_hyper_lowrank_up,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,moe_hyper_sigmoid,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,moe_hyper_weighted_reduce,matrix_sfu_state,HeteroQwen38GatedResidualReadPrimitiveV3
qwen3_8_flash_next,attention_hyper_block_broadcast,matrix_sfu_state,HeteroQwen38GatedResidualWritePrimitiveV3
qwen3_8_flash_next,attention_hyper_inject_gate,matrix_sfu_state,HeteroQwen38GatedResidualWritePrimitiveV3
qwen3_8_flash_next,attention_hyper_state_write,matrix_sfu_state,HeteroQwen38GatedResidualWritePrimitiveV3
qwen3_8_flash_next,moe_hyper_block_broadcast,matrix_sfu_state,HeteroQwen38GatedResidualWritePrimitiveV3
qwen3_8_flash_next,moe_hyper_inject_gate,matrix_sfu_state,HeteroQwen38GatedResidualWritePrimitiveV3
qwen3_8_flash_next,moe_hyper_state_write,matrix_sfu_state,HeteroQwen38GatedResidualWritePrimitiveV3
qwen3_8_flash_next,input_rmsnorm,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_qkv_projection,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_z_projection,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_beta_projection,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_decay_projection,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_causal_conv1d,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_conv_state_read,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_conv_state_write,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_q_l2norm,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_k_l2norm,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_query_scale,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_softplus,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_decay_exp,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_beta_sigmoid,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_recurrent_state_read,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_state_decay,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_state_key_read,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_delta,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_outer_product_update,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_state_query,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_output_rmsnorm,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_output_configured_gate,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_output_projection,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,gdn_residual,matrix_sfu_state,HeteroGatedDeltaNetPrimitiveV3
qwen3_8_flash_next,ple_eos_history_reset,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_ngram_hash,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_sparse_row_fetch,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_embedding_lookup,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_key_projection,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_value_projection,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_key_group_rmsnorm,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_query_group_rmsnorm,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_gate_dot,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_gate_scale,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_signed_sqrt,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_sigmoid_gate,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_value_gate,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_conv_group_rmsnorm,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_dilated_depthwise_conv,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_conv_state,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,ple_residual,matrix_sfu_memory_state,HeteroPlePrimitiveV3
qwen3_8_flash_next,qsa_index_q_projection,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_index_k_projection,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_index_l2norm,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_index_rope,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_index_state_append,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_block_sum,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_block_average,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_block_l2norm,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_index_score,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_score_clamp,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_head_reduce,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_score_scale,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_stable_top512,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_block_expand,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_selected_sort,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_run_coalesce,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_sparse_kv_gather,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_q_projection,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_k_projection,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_v_projection,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_gate_projection,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_q_rmsnorm,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_k_rmsnorm,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_partial_mrope,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_kv_append,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_sparse_qk,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_attention_scale,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_causal_mask,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_online_softmax,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_sparse_pv,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_output_sigmoid_gate,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,qsa_o_projection,matrix_sfu_kv_selection_state,HeteroQsaPrimitiveV3
qwen3_8_flash_next,post_attention_rmsnorm,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,moe_router_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,moe_stable_top10,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,moe_selected_softmax,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,moe_dispatch,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,expert_weight_fetch,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,routed_expert_gate_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,routed_expert_up_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,routed_expert_silu,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,routed_expert_multiply,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,routed_expert_down_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,routed_expert_weighted_reduce,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,shared_expert_gate_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,shared_expert_up_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,shared_expert_silu,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,shared_expert_multiply,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,shared_expert_down_projection,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,shared_expert_router_gate,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,routed_shared_reduce,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,moe_residual,matrix_sfu_dma,HeteroMoePrimitiveV3
qwen3_8_flash_next,final_hyper_state_read,state,HeteroQwen38FinalHyperMergePrimitiveV3
qwen3_8_flash_next,final_hyper_group_rmsnorm,sfu,HeteroQwen38FinalHyperMergePrimitiveV3
qwen3_8_flash_next,final_hyper_lowrank_gate,matrix_sfu,HeteroQwen38FinalHyperMergePrimitiveV3
qwen3_8_flash_next,final_hyper_weighted_reduce,sfu,HeteroQwen38FinalHyperMergePrimitiveV3
qwen3_8_flash_next,final_rmsnorm,sfu,HeteroQwen38FinalHyperMergePrimitiveV3
qwen3_8_flash_next,lm_head,matrix,HeteroLmHeadArgmaxPrimitiveV3
qwen3_8_flash_next,argmax,selection,HeteroLmHeadArgmaxPrimitiveV3
qwen3_8_flash_next,mtp_draft,matrix_state,HeteroMtpDraftPrimitiveV3
qwen3_8_flash_next,mtp_target_verify,control_state,HeteroMtpVerifyResolvePrimitiveV3
qwen3_8_flash_next,mtp_state_commit_rollback,control_state,HeteroMtpVerifyResolvePrimitiveV3
qwen3_8_flash_next,vision_patch_projection,matrix,HeteroVisionPatchEmbedPrimitiveV3
qwen3_8_flash_next,vision_position_interpolation,control_sfu,HeteroVisionPatchEmbedPrimitiveV3
qwen3_8_flash_next,vision_position_add,sfu,HeteroVisionPatchEmbedPrimitiveV3
qwen3_8_flash_next,vision_layernorm1,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_qkv_projection,matrix,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_rope,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_window_mask,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_noncausal_qk,matrix,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_online_softmax,attention_sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_pv,matrix,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_output_projection,matrix,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_attention_residual,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_layernorm2,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_mlp_fc1,matrix,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_gelu,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_mlp_fc2,matrix,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_mlp_residual,sfu,HeteroVisionTransformerBlockPrimitiveV3
qwen3_8_flash_next,vision_spatial_merge,memory_sfu,HeteroVisionPatchMergePrimitiveV3
qwen3_8_flash_next,vision_merge_layernorm,sfu,HeteroVisionPatchMergePrimitiveV3
qwen3_8_flash_next,vision_merge_fc1,matrix,HeteroVisionPatchMergePrimitiveV3
